Component Name,Component Type,Quantity,Cost per unit,Total Cost,Purchase source,Material Type
Tower Pro SG90,Mini Servo,3,Rp 14.400 ,Rp 43.200,https://www.tokopedia.com/arttechno/tower-pro-sg90,Elektronik
MG996R Gear Servo Metal Gear High Torque UP MG995 Arduino,Servo,3,Rp 35.000,RP 105.000,https://www.tokopedia.com/mitra-abadi/mg996r-gear-servo-metal-gear-high-torque-up-mg995-arduino,Elektronik
Potensiometer 100K Ohm WH148 Linear Taper Rotary,Potensiometer,6,Rp 2.500,Rp 15.000,https://www.tokopedia.com/snapshot_product?order_id=784975093&dtl_id=1225477845,Elektronik
Male to Male Jumper Cable,Kabel,40,Rp 375,Rp 15.000,https://www.tokopedia.com/starlectric/male-to-male-kabel-jumper,Tembaga
Tactile Switch / Push Button 5mm,Push Button,1,Rp 500,Rp 500,https://www.tokopedia.com/starlectric/tactile-switch-push-button-5mm,Elektronik
Resistor 10000 10K 10 K 10000R Ohm 1/4 W 5% 5pcs/pack,Resistor,1,Rp 500,Rp 500,https://www.tokopedia.com/starlectric/resistor-10000-10k-10-k-10000r-ohm-1-4-w-5-5pcs-pack,Keramik
Breadboard 830 Tie Point MB-102 MB 102 Solderless,Breadboard,1,Rp 16.500,Rp 16.500,https://www.toktokope.com/starlstarle/breadboarb-830-tie-point-mb-102-mb-102-solderless ,Plastik
Rocker Switch 22mm 22 Saklar Power Bulat 6A 250VAC Switch ON OFF,Switch,1,Rp 3.000,Rp 3.000,https://www.tokopedia.com/starlectric/rocker-switch-22mm-22-saklar-power-bulat-6a-250vac-switch-on-off,Elektronik
L298N Motor Driver Board,Motor Driver,2,Rp 18.500,Rp 18.500,https://www.tokopedia.com/starlectric/l298n-motor-driver-board,Elektronik
Motor DC Gearbox Kuning Dan Roda Smart Car Robot Wheel, Motor DC,4,Rp 23.000,Rp 92.000,https://www.tokopedia.com/starlectric/motor-dc-gearbox-kuning-dan-roda-smart-car-robot-wheel,Elektronik
Arduino Mega2560 R3 Built-in IOT Wifi ESP8266 32MB Wemos Nodemcu Board,Mikrokontroller,1,Rp 205.000,Rp 205.000,https://www.toktokope.com/alfaalfaele/arduino-mega2560-r3-built-in-iot-wifi-esp8266-32mb-wemos-nodemcu-board ,Elektronik
INDOCART Tinta Filamen 3D Printer Filament CREALITY CR-PLA 1.75mm 1kg - Hitam,Filamen,1,Rp 178.000,Rp 178.000,https://www.toktokope.com/indoindo/indocart-tinta-filamen-3d-printer-filament-creality-cr-pla-1-75mm-1kg-hitam ,PLA+
XT60 Connector,Connector,2,Rp 5.000,Rp 10.000,https://www.tokopedia.com/jakartahobbycom/xt60-connector?whid=0,Nilon
XL4015 DC/DC Buck/Step down Adjustable Converter 5A 75W,Voltage Converter,1,Rp 16.000,Rp 16.000,https://www.toktokope.com/starlstarle/xl4015-dcdc-buckstep-down-adjustable-converter-5a-75w?src=topads ,Elektronik
kabel serabut tebal AWG16 made in JAPAN Cable ton awg 16 – Merah&Hitam,Kabel,2,Rp 7.000,Rp 14.000,https://www.tokopedia.com/pcmelektrobik/kabel-serabut-tebal-awg16-made-in-japan-cable-ton-awg-16-merah?whid=0 ,Tembaga
M4x20 Baut Mur Hexagon Putih BMP Hex 4x20 Kunci 7 Galvanis,Baut,20,Rp 580,Rp 11.600,https://www.tokopedia.com/sumberbautsunter/m4x20-baut-mur-hexagon-putih-bmp-hex-4x20-kunci-7-galvanis,Stainless Steel
M3x20 Baut Mur Hexagon Stainless 304 SS Hex 3x20,Baut,4,Rp 150,Rp 600,https://www.tokopedia.com/sumberbautsunter/m3x20-baut-mur-hexagon-stainless-304-ss-hex-3x20,Stainless Steel
TATTU 11.1 V 5200MAH 3S 35C LIPO BATTERY PACK WITH XT60 PLUG,Baterai,1,Rp 1.439.300,Rp 1.439.300,https://www.tokopedia.com/calamarystore/tattu-11-1-v-5200mah-3s-35c-lipo-battery-pack-with-xt60-plug?whid=0 ,Lithium Polymer
NVIDIA Jetson Nano 2GB Developer Kit - Mini PC for AI and Robotics,Single Board Computer,1,Rp 1.099.000,Rp 1.099.000,https://www.tokopedia.com/search?st=product&q=nvidia%20jetson%20nano ,
PowerBank Anker PowerCore Nintendo Switch 13400mAh PD Black - A1241,Baterai,1,Rp 498.000,Rp 498.000,https://www.tokopedia.com/pojokbona/powerbank-anker-powercore- nintendo-switch-13400mah-pd-black-a1241?src=topads ,Elektronik
